Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist,Minutes
All the Best Cowboys Have Daddy Issues,,2555492,,1.99,TV Shows,"Lost, Season 1",Lost,42.59153333333333
Beira Mar,Gilberto Gil,295444,9597994.0,0.99,Latin,Unplugged,Eric Clapton,4.924066666666667
Brasil,"Milton Nascimento, Fernando Brant",155428,5252560.0,0.99,Latin,Milton Nascimento Ao Vivo,Milton Nascimento,2.5904666666666665
Ben Franklin,,1271938,264168080.0,1.99,Comedy,"The Office, Season 3",The Office,21.198966666666667
O Último Romântico (Ao Vivo),,231993,7692697.0,0.99,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos,3.86655
Freewheel Burning,,265952,8713599.0,0.99,Metal,Living After Midnight,Judas Priest,4.432533333333334
That's The Way,Robert Plant,343431,11248455.0,0.99,Rock,BBC Sessions [Disc 2] [Live],Led Zeppelin,5.72385
Mellowship Slinky In B Major,Anthony Kiedis/Chad Smith/Flea/John Frusciante,240091,7971384.0,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,4.001516666666666
"Diga Lá, Coração",,255921,8280636.0,0.99,Latin,Meus Momentos,Gonzaguinha,4.26535
Come As You Are,Kurt Cobain,219219,7123357.0,0.99,Rock,Nevermind,Nirvana,3.65365
The Spirit Of Radio,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,299154,9862012.0,0.99,Rock,Retrospective I (1974-1980),Rush,4.9859
Midnight Blue,David Coverdale/Earl Slick,298631,9750990.0,0.99,Rock,Into The Light,David Coverdale,4.9771833333333335
Se Liga,,410409,13559173.0,0.99,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,6.84015
Carnival Of Sorts,R.E.M.,233482,7669658.0,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.,3.891366666666667
Paranoid,"A. F. Iommi, W. Ward, T. Butler, J. Osbourne",176352,5729813.0,0.99,Metal,Tribute,Ozzy Osbourne,2.9392
Got That Feeling,Mike Patton,140852,4643227.0,0.99,Alternative & Punk,Album Of The Year,Faith No More,2.3475333333333332
What Is And What Should Never Be,"Jimmy Page, Robert Plant",287973,9369385.0,0.99,Rock,Led Zeppelin II,Led Zeppelin,4.79955
The Zephyr Song,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",232960,7690312.0,0.99,Rock,By The Way,Red Hot Chili Peppers,3.8826666666666667
Run Silent Run Deep,Bruce Dickinson/Steve Harris,275408,4407296.0,0.99,Metal,No Prayer For The Dying,Iron Maiden,4.590133333333333
Realidade Virtual,Bino Farias/Da Gama/Lazão/Toni Garrido,195239,6503533.0,0.99,Reggae,Acústico MTV [Live],Cidade Negra,3.2539833333333332
Há Quanto Tempo,,270027,9004470.0,0.99,Latin,Jota Quest-1995,Jota Quest,4.50045
Oprah,,6635,224313.0,0.99,Alternative & Punk,Body Count,Body Count,0.11058333333333334
As Aparências Enganam,,247379,8014346.0,0.99,Latin,Elis Regina-Minha História,Elis Regina,4.122983333333333
Confidence Man,,2615244,223756475.0,1.99,TV Shows,"Lost, Season 1",Lost,43.5874
Os Alquimistas Estão Chegando,,367281,12304520.0,0.99,Latin,Jorge Ben Jor 25 Anos,Jorge Ben,6.12135
Springsville,J. Carisi,207725,6776219.0,0.99,Jazz,Miles Ahead,Miles Davis,3.462083333333333
Wake Up,Alanis Morissette & Glenn Ballard,293485,9703359.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,4.891416666666666
Ave Maria,Franz Schubert,338243,5605648.0,0.99,Classical,A Soprano Inspired,"Britten Sinfonia, Ivor Bolton & Lesley Garrett",5.637383333333333
A Banda,,132493,4349539.0,0.99,Latin,Minha Historia,Chico Buarque,2.2082166666666665
Fight Fire With Fire,Metallica,285753,9420856.0,0.99,Metal,Ride The Lightning,Metallica,4.76255
Sound of a Gun,,260154,4234990.0,0.99,Alternative,Revelations,Audioslave,4.3359
RV,,223242,7288162.0,0.99,Alternative & Punk,Angel Dust,Faith No More,3.7207
É que Nessa Encarnação Eu Nasci Manga,Lucina/Luli,196519,6568081.0,0.99,Pop,Axé Bahia 2001,Various Artists,3.275316666666667
Do The Evolution,Eddie Vedder & Stone Gossard,225462,7377286.0,0.99,Rock,Live On Two Legs [Live],Pearl Jam,3.7577
Prowler,Steve Harris,255634,4091904.0,0.99,Metal,A Real Dead One,Iron Maiden,4.260566666666667
They Can't Take That Away From Me,george gershwin/ira gershwin,161227,5240043.0,0.99,Easy Listening,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra,2.687116666666667
The Real Problem,,11650,387360.0,0.99,Alternative & Punk,Body Count,Body Count,0.19416666666666665
Tempus Fugit,Miles Davis,231784,7548434.0,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,3.8630666666666666
Diwali,,1279904,252726644.0,1.99,TV Shows,"The Office, Season 3",The Office,21.331733333333332
Bring'em Back Alive,Audioslave/Chris Cornell,329534,7911634.0,0.99,Rock,Audioslave,Audioslave,5.492233333333333
Time Is On My Side,Jerry Ragavoy,179983,5855836.0,0.99,Rock,"Hot Rocks, 1964-1971 (Disc 1)",The Rolling Stones,2.9997166666666666
The Ocean,John Bonham/John Paul Jones,271098,8846469.0,0.99,Rock,Houses Of The Holy,Led Zeppelin,4.5183
Minority,Billie Joe Armstrong -Words Green Day -Music,168803,5535061.0,0.99,Alternative & Punk,International Superhits,Green Day,2.8133833333333333
The Messenger,Daniel Lanois,212062,6975437.0,0.99,Alternative & Punk,Tangents,The Tea Party,3.5343666666666667
Quanta (Live),,357485,11774865.0,0.99,Latin,Quanta Gente Veio Ver (Live),Gilberto Gil,5.958083333333334
Ironic,Alanis Morissette & Glenn Ballard,229825,7598866.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,3.830416666666667
Faraó Divindade Do Egito,,228571,7523278.0,0.99,Latin,Olodum,Olodum,3.8095166666666667
"Nabucco: Chorus, ""Va, Pensiero, Sull'ali Dorate""",Giuseppe Verdi,274504,4498583.0,0.99,Classical,Great Opera Choruses,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",4.575066666666666
Redundant,Billie Joe Armstrong -Words Green Day -Music,198164,6481753.0,0.99,Alternative & Punk,International Superhits,Green Day,3.3027333333333333
Leave Us Leap,,182726,5898810.0,0.99,Jazz,Up An' Atom,Gene Krupa,3.0454333333333334
Flight Of The Icarus,Adrian Smith/Bruce Dickinson,230269,3686400.0,0.99,Metal,Piece Of Mind,Iron Maiden,3.837816666666667
Adoled (Ocean),,185103,6009946.0,0.99,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,3.08505
Let's See Action,Pete Townshend,243513,8078418.0,0.99,Rock,My Generation - The Very Best Of The Who,The Who,4.05855
"Toccata and Fugue in D Minor, BWV 565: I. Toccata",Johann Sebastian Bach,153901,2649938.0,0.99,Classical,Bach: Toccata & Fugue in D Minor,Ton Koopman,2.5650166666666667
